Fold,Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
3,NoScaler,200,6,0.1,0.716,0.716,0.716,0.716,0.7615
3,NoScaler,200,8,0.01,0.6914,0.7067,0.6543,0.6795,0.7678
3,NoScaler,200,8,0.1,0.7037,0.7037,0.7037,0.7037,0.7707
3,StandardScaler,100,4,0.01,0.7099,0.7179,0.6914,0.7044,0.7715
3,StandardScaler,100,4,0.1,0.6667,0.6753,0.642,0.6582,0.7654
3,StandardScaler,100,6,0.01,0.6914,0.7067,0.6543,0.6795,0.7647
3,StandardScaler,100,6,0.1,0.6667,0.68,0.6296,0.6538,0.7605
3,StandardScaler,100,8,0.01,0.6852,0.7027,0.642,0.671,0.7594
3,StandardScaler,100,8,0.1,0.6852,0.6875,0.679,0.6832,0.7728
3,StandardScaler,200,4,0.01,0.716,0.7397,0.6667,0.7013,0.7769
3,StandardScaler,200,4,0.1,0.6914,0.6914,0.6914,0.6914,0.7705
3,StandardScaler,200,6,0.01,0.679,0.7164,0.5926,0.6486,0.7614
3,StandardScaler,200,6,0.1,0.716,0.716,0.716,0.716,0.7615
3,StandardScaler,200,8,0.01,0.6914,0.7067,0.6543,0.6795,0.7678
3,StandardScaler,200,8,0.1,0.7037,0.7037,0.7037,0.7037,0.7707
3,MinMaxScaler,100,4,0.01,0.7099,0.7179,0.6914,0.7044,0.7715
3,MinMaxScaler,100,4,0.1,0.6728,0.6842,0.642,0.6624,0.7648
3,MinMaxScaler,100,6,0.01,0.6914,0.7067,0.6543,0.6795,0.7647
3,MinMaxScaler,100,6,0.1,0.6667,0.68,0.6296,0.6538,0.7605
3,MinMaxScaler,100,8,0.01,0.6852,0.7027,0.642,0.671,0.7594
3,MinMaxScaler,100,8,0.1,0.6852,0.6875,0.679,0.6832,0.7695
3,MinMaxScaler,200,4,0.01,0.716,0.7397,0.6667,0.7013,0.7769
3,MinMaxScaler,200,4,0.1,0.6975,0.7051,0.679,0.6918,0.7593
3,MinMaxScaler,200,6,0.01,0.6852,0.7273,0.5926,0.6531,0.7605
3,MinMaxScaler,200,6,0.1,0.716,0.716,0.716,0.716,0.7615
3,MinMaxScaler,200,8,0.01,0.6914,0.7067,0.6543,0.6795,0.7678
3,MinMaxScaler,200,8,0.1,0.6975,0.6951,0.7037,0.6994,0.7673
3,RobustScaler,100,4,0.01,0.7099,0.7179,0.6914,0.7044,0.7715
3,RobustScaler,100,4,0.1,0.6667,0.6753,0.642,0.6582,0.7654
3,RobustScaler,100,6,0.01,0.6914,0.7067,0.6543,0.6795,0.7647
3,RobustScaler,100,6,0.1,0.6667,0.68,0.6296,0.6538,0.7605
3,RobustScaler,100,8,0.01,0.6852,0.7027,0.642,0.671,0.7594
3,RobustScaler,100,8,0.1,0.6852,0.6875,0.679,0.6832,0.7728
3,RobustScaler,200,4,0.01,0.716,0.7397,0.6667,0.7013,0.7769
3,RobustScaler,200,4,0.1,0.6914,0.6914,0.6914,0.6914,0.7705
3,RobustScaler,200,6,0.01,0.679,0.7164,0.5926,0.6486,0.7614
3,RobustScaler,200,6,0.1,0.716,0.716,0.716,0.716,0.7615
3,RobustScaler,200,8,0.01,0.6914,0.7067,0.6543,0.6795,0.7678
3,RobustScaler,200,8,0.1,0.7037,0.7037,0.7037,0.7037,0.7707
3,Normalizer,100,4,0.01,0.6852,0.7344,0.5802,0.6483,0.7208
3,Normalizer,100,4,0.1,0.679,0.7101,0.6049,0.6533,0.7464
3,Normalizer,100,6,0.01,0.6914,0.7627,0.5556,0.6429,0.7397
3,Normalizer,100,6,0.1,0.6914,0.7123,0.642,0.6753,0.7522
3,Normalizer,100,8,0.01,0.6975,0.75,0.5926,0.6621,0.7404
3,Normalizer,100,8,0.1,0.6975,0.7162,0.6543,0.6839,0.7651
3,Normalizer,200,4,0.01,0.6852,0.7419,0.5679,0.6434,0.7348
3,Normalizer,200,4,0.1,0.6728,0.6892,0.6296,0.6581,0.7613
3,Normalizer,200,6,0.01,0.6852,0.7344,0.5802,0.6483,0.7414
3,Normalizer,200,6,0.1,0.6975,0.7051,0.679,0.6918,0.7613
3,Normalizer,200,8,0.01,0.6914,0.7183,0.6296,0.6711,0.7541
3,Normalizer,200,8,0.1,0.7099,0.7179,0.6914,0.7044,0.7664
4,NoScaler,100,4,0.01,0.716,0.7465,0.6543,0.6974,0.7687
4,NoScaler,100,4,0.1,0.7037,0.726,0.6543,0.6883,0.7477
4,NoScaler,100,6,0.01,0.6728,0.7188,0.5679,0.6345,0.7567
4,NoScaler,100,6,0.1,0.679,0.6986,0.6296,0.6623,0.7526
4,NoScaler,100,8,0.01,0.6728,0.7258,0.5556,0.6294,0.7496
4,NoScaler,100,8,0.1,0.642,0.6533,0.6049,0.6282,0.7467
4,NoScaler,200,4,0.01,0.716,0.7465,0.6543,0.6974,0.7704
4,NoScaler,200,4,0.1,0.6728,0.7059,0.5926,0.6443,0.7487
4,NoScaler,200,6,0.01,0.6975,0.7353,0.6173,0.6711,0.7442
4,NoScaler,200,6,0.1,0.6667,0.6849,0.6173,0.6494,0.7522
4,NoScaler,200,8,0.01,0.679,0.7042,0.6173,0.6579,0.749
4,NoScaler,200,8,0.1,0.6605,0.6625,0.6543,0.6584,0.7471
4,StandardScaler,100,4,0.01,0.716,0.7465,0.6543,0.6974,0.7687
4,StandardScaler,100,4,0.1,0.7037,0.726,0.6543,0.6883,0.7477
4,StandardScaler,100,6,0.01,0.6728,0.7188,0.5679,0.6345,0.7567
4,StandardScaler,100,6,0.1,0.679,0.6986,0.6296,0.6623,0.7526
4,StandardScaler,100,8,0.01,0.6728,0.7258,0.5556,0.6294,0.7496
4,StandardScaler,100,8,0.1,0.642,0.6533,0.6049,0.6282,0.7467
4,StandardScaler,200,4,0.01,0.716,0.7465,0.6543,0.6974,0.7704
4,StandardScaler,200,4,0.1,0.6728,0.7059,0.5926,0.6443,0.7487
4,StandardScaler,200,6,0.01,0.6975,0.7353,0.6173,0.6711,0.7442
4,StandardScaler,200,6,0.1,0.6667,0.6849,0.6173,0.6494,0.7522
4,StandardScaler,200,8,0.01,0.679,0.7042,0.6173,0.6579,0.749
4,StandardScaler,200,8,0.1,0.6605,0.6625,0.6543,0.6584,0.7471
4,MinMaxScaler,100,4,0.01,0.716,0.7465,0.6543,0.6974,0.7687
4,MinMaxScaler,100,4,0.1,0.7037,0.726,0.6543,0.6883,0.7477
4,MinMaxScaler,100,6,0.01,0.6728,0.7188,0.5679,0.6345,0.7567
4,MinMaxScaler,100,6,0.1,0.679,0.6986,0.6296,0.6623,0.7526
4,MinMaxScaler,100,8,0.01,0.6728,0.7258,0.5556,0.6294,0.7496
4,MinMaxScaler,100,8,0.1,0.642,0.6533,0.6049,0.6282,0.7467
4,MinMaxScaler,200,4,0.01,0.716,0.7465,0.6543,0.6974,0.7704
4,MinMaxScaler,200,4,0.1,0.6728,0.7059,0.5926,0.6443,0.7487
4,MinMaxScaler,200,6,0.01,0.6975,0.7353,0.6173,0.6711,0.7442
4,MinMaxScaler,200,6,0.1,0.6667,0.6849,0.6173,0.6494,0.7522
4,MinMaxScaler,200,8,0.01,0.679,0.7042,0.6173,0.6579,0.749
4,MinMaxScaler,200,8,0.1,0.6667,0.6753,0.642,0.6582,0.7453
4,RobustScaler,100,4,0.01,0.716,0.7465,0.6543,0.6974,0.7687
4,RobustScaler,100,4,0.1,0.7037,0.726,0.6543,0.6883,0.7477
4,RobustScaler,100,6,0.01,0.6728,0.7188,0.5679,0.6345,0.7567
4,RobustScaler,100,6,0.1,0.679,0.6986,0.6296,0.6623,0.7526
4,RobustScaler,100,8,0.01,0.6728,0.7258,0.5556,0.6294,0.7496
4,RobustScaler,100,8,0.1,0.642,0.6533,0.6049,0.6282,0.7467
4,RobustScaler,200,4,0.01,0.716,0.7465,0.6543,0.6974,0.7704
4,RobustScaler,200,4,0.1,0.6728,0.7059,0.5926,0.6443,0.7487
4,RobustScaler,200,6,0.01,0.6975,0.7353,0.6173,0.6711,0.7442
4,RobustScaler,200,6,0.1,0.6667,0.6849,0.6173,0.6494,0.7522
4,RobustScaler,200,8,0.01,0.679,0.7042,0.6173,0.6579,0.749
4,RobustScaler,200,8,0.1,0.6605,0.6625,0.6543,0.6584,0.7471
4,Normalizer,100,4,0.01,0.6852,0.7885,0.5062,0.6165,0.7106
4,Normalizer,100,4,0.1,0.6728,0.7333,0.5432,0.6241,0.725
4,Normalizer,100,6,0.01,0.6296,0.678,0.4938,0.5714,0.7313
4,Normalizer,100,6,0.1,0.6543,0.6984,0.5432,0.6111,0.7108
4,Normalizer,100,8,0.01,0.6173,0.661,0.4815,0.5571,0.7045
4,Normalizer,100,8,0.1,0.6605,0.7097,0.5432,0.6154,0.711
4,Normalizer,200,4,0.01,0.6914,0.8039,0.5062,0.6212,0.7181
4,Normalizer,200,4,0.1,0.6543,0.7119,0.5185,0.6,0.7059
4,Normalizer,200,6,0.01,0.6235,0.6852,0.4568,0.5481,0.7193
4,Normalizer,200,6,0.1,0.6481,0.7,0.5185,0.5957,0.7101
4,Normalizer,200,8,0.01,0.6358,0.6833,0.5062,0.5816,0.7111
