Fold,Scaler,n_estimators,max_depth,ACC,Precision,Recall,F1,ROC-AUC
5,NoScaler,200,None,0.6218,0.6207,0.6218,0.6211,0.7873
5,NoScaler,200,10,0.6076,0.6078,0.6076,0.6063,0.7689
5,NoScaler,200,20,0.6257,0.6244,0.6257,0.6248,0.7895
5,StandardScaler,100,None,0.6207,0.6198,0.6207,0.6202,0.7862
5,StandardScaler,100,10,0.601,0.601,0.601,0.5996,0.7656
5,StandardScaler,100,20,0.6273,0.6259,0.6273,0.6264,0.7901
5,StandardScaler,200,None,0.6202,0.619,0.6202,0.6194,0.788
5,StandardScaler,200,10,0.6059,0.606,0.6059,0.6044,0.7684
5,StandardScaler,200,20,0.6246,0.623,0.6246,0.6235,0.7901
5,MinMaxScaler,100,None,0.6213,0.6203,0.6213,0.6207,0.7849
5,MinMaxScaler,100,10,0.5993,0.5991,0.5993,0.5977,0.765
5,MinMaxScaler,100,20,0.6251,0.624,0.6251,0.6244,0.7879
5,MinMaxScaler,200,None,0.6218,0.6205,0.6218,0.621,0.7866
5,MinMaxScaler,200,10,0.601,0.6009,0.601,0.5994,0.7672
5,MinMaxScaler,200,20,0.6251,0.6239,0.6251,0.6243,0.789
5,RobustScaler,100,None,0.6207,0.6193,0.6207,0.6198,0.7866
5,RobustScaler,100,10,0.6037,0.6035,0.6037,0.6024,0.7657
5,RobustScaler,100,20,0.6284,0.6271,0.6284,0.6275,0.7882
5,RobustScaler,200,None,0.6229,0.6217,0.6229,0.6221,0.788
5,RobustScaler,200,10,0.6065,0.6067,0.6065,0.6051,0.768
5,RobustScaler,200,20,0.6306,0.6292,0.6306,0.6297,0.7892
5,Normalizer,100,None,0.562,0.5625,0.562,0.5622,0.7344
5,Normalizer,100,10,0.584,0.5884,0.584,0.5846,0.7584
5,Normalizer,100,20,0.5626,0.5632,0.5626,0.5628,0.7443
5,Normalizer,200,None,0.562,0.5625,0.562,0.5622,0.7372
5,Normalizer,200,10,0.5939,0.5969,0.5939,0.5944,0.7599
5,Normalizer,200,20,0.5631,0.5637,0.5631,0.5634,0.7446
