Fold,Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
5,StandardScaler,200,8,0.1,0.629,0.6275,0.629,0.6278,0.7908
5,MinMaxScaler,100,4,0.01,0.466,0.4671,0.466,0.4628,0.6543
5,MinMaxScaler,100,4,0.1,0.5752,0.5746,0.5752,0.5732,0.7422
5,MinMaxScaler,100,6,0.01,0.5203,0.5195,0.5203,0.5172,0.6999
5,MinMaxScaler,100,6,0.1,0.6207,0.6196,0.6207,0.6196,0.7808
5,MinMaxScaler,100,8,0.01,0.5785,0.5782,0.5785,0.5764,0.7461
5,MinMaxScaler,100,8,0.1,0.6306,0.6289,0.6306,0.629,0.7911
5,MinMaxScaler,200,4,0.01,0.4786,0.479,0.4786,0.4769,0.6748
5,MinMaxScaler,200,4,0.1,0.5971,0.5956,0.5971,0.5956,0.7679
5,MinMaxScaler,200,6,0.01,0.5527,0.5519,0.5527,0.5509,0.7302
5,MinMaxScaler,200,6,0.1,0.6323,0.631,0.6323,0.6311,0.7896
5,MinMaxScaler,200,8,0.01,0.5977,0.5965,0.5977,0.5962,0.7634
5,MinMaxScaler,200,8,0.1,0.629,0.6273,0.629,0.6273,0.7911
5,RobustScaler,100,4,0.01,0.4627,0.4635,0.4627,0.4594,0.6536
5,RobustScaler,100,4,0.1,0.5708,0.5702,0.5708,0.5692,0.7437
5,RobustScaler,100,6,0.01,0.5258,0.5248,0.5258,0.5228,0.7029
5,RobustScaler,100,6,0.1,0.6191,0.6188,0.6191,0.6176,0.7797
5,RobustScaler,100,8,0.01,0.5703,0.5701,0.5703,0.5688,0.7454
5,RobustScaler,100,8,0.1,0.6262,0.6247,0.6262,0.6246,0.7878
5,RobustScaler,200,4,0.01,0.4841,0.4849,0.4841,0.4827,0.6758
5,RobustScaler,200,4,0.1,0.5928,0.5913,0.5928,0.5917,0.7683
5,RobustScaler,200,6,0.01,0.5615,0.5612,0.5615,0.5602,0.7298
5,RobustScaler,200,6,0.1,0.624,0.6228,0.624,0.6227,0.7898
5,RobustScaler,200,8,0.01,0.5911,0.5901,0.5911,0.5894,0.7615
5,RobustScaler,200,8,0.1,0.629,0.6275,0.629,0.6275,0.7902
5,Normalizer,100,4,0.01,0.4786,0.4783,0.4786,0.4782,0.6702
5,Normalizer,100,4,0.1,0.5467,0.5505,0.5467,0.5473,0.7241
5,Normalizer,100,6,0.01,0.528,0.534,0.528,0.5278,0.7113
5,Normalizer,100,6,0.1,0.5757,0.5774,0.5757,0.5763,0.7458
5,Normalizer,100,8,0.01,0.5499,0.5544,0.5499,0.5504,0.7299
5,Normalizer,100,8,0.1,0.5796,0.5819,0.5796,0.5803,0.7494
5,Normalizer,200,4,0.01,0.5,0.5051,0.5,0.4985,0.6856
5,Normalizer,200,4,0.1,0.5692,0.5721,0.5692,0.5698,0.7362
5,Normalizer,200,6,0.01,0.5395,0.5446,0.5395,0.5394,0.7225
5,Normalizer,200,6,0.1,0.5867,0.5874,0.5867,0.587,0.7486
5,Normalizer,200,8,0.01,0.5604,0.5634,0.5604,0.5605,0.7403
5,Normalizer,200,8,0.1,0.5851,0.5853,0.5851,0.5851,0.7493
